date;hour;track_name_clean;artist_name_clean;artists;track_name;danceability;energy;liveness;valence;main_artist_clean
2025-01-07;23;chasing cars;snow patrol;Snow Patrol;Chasing Cars;0.56;0.595;0.132;0.144;snow patrol
2025-01-08;6;never gonna give you up;rick astley;Rick Astley;Never Gonna Give You Up;0.721;0.939;0.108;0.914;rick astley
2025-01-08;7;chasing cars;snow patrol;Snow Patrol;Chasing Cars;0.56;0.595;0.132;0.144;snow patrol
2025-01-08;7;hit the road jack;ray charles;Ray Charles;Hit the Road Jack;0.598;0.571;0.513;0.962;ray charles
2025-01-08;7;love on the brain;rihanna;Rihanna;Love On The Brain;0.509;0.637;0.0709;0.378;rihanna
2025-01-08;7;hooray! hooray! it's a holi-holiday - radio edit;boney m.;Boney M.;Hooray! Hooray! It's A Holi-Holiday - Radio Edit;0.67;0.859;0.131;0.768;boney m.
2025-01-08;13;señorita;shawn mendes;"Shawn Mendes;Camila Cabello";Señorita;0.759;0.54;0.0945;0.75;shawn mendes
2025-01-08;13;sugar, sugar;the archies;The Archies;Sugar, Sugar;0.736;0.871;0.108;0.967;the archies
2025-01-08;15;everytime we touch;cascada;Cascada;Everytime We Touch;0.633;0.976;0.382;0.493;cascada
2025-01-08;18;you're a woman;bad boys blue;Bad Boys Blue;You're a Woman;0.737;0.308;0.313;0.769;bad boys blue
2025-01-08;21;words - original version 1983;f.r. david;F.R. David;Words - Original Version 1983;0.537;0.789;0.138;0.527;f.r. david
2025-01-08;21;everlasting love;sandra;Sandra;Everlasting Love;0.648;0.806;0.163;0.473;sandra
2025-01-09;8;words - original version 1983;f.r. david;F.R. David;Words - Original Version 1983;0.537;0.789;0.138;0.527;f.r. david
2025-01-09;8;everlasting love;sandra;Sandra;Everlasting Love;0.648;0.806;0.163;0.473;sandra
2025-01-09;8;don't stop the music;rihanna;Rihanna;Don't Stop The Music;0.835;0.669;0.0535;0.542;rihanna
2025-01-09;8;addicted to you;avicii;Avicii;Addicted To You;0.569;0.785;0.086;0.303;avicii
2025-01-09;8;levitating (feat. dababy);dua lipa;"Dua Lipa;DaBaby";Levitating (feat. DaBaby);0.702;0.825;0.0674;0.915;dua lipa
2025-01-09;11;levitating (feat. dababy);dua lipa;"Dua Lipa;DaBaby";Levitating (feat. DaBaby);0.702;0.825;0.0674;0.915;dua lipa
2025-01-09;11;in the shadows;the rasmus;The Rasmus;In the Shadows;0.6;0.796;0.484;0.75;the rasmus
2025-01-09;11;where are you now;lost frequencies;"Lost Frequencies;Calum Scott";Where Are You Now;0.671;0.636;0.172;0.262;lost frequencies
2025-01-10;16;you're a woman;bad boys blue;Bad Boys Blue;You're a Woman;0.737;0.308;0.313;0.769;bad boys blue
2025-01-10;17;everlasting love;sandra;Sandra;Everlasting Love;0.648;0.806;0.163;0.473;sandra
2025-01-10;17;hands up - single version;ottawan;Ottawan;Hands Up - Single Version;0.888;0.876;0.375;0.992;ottawan
2025-01-10;23;как тебя покорить;перемотка;Перемотка;Как тебя покорить;0.514;0.966;0.382;0.802;перемотка
2025-01-10;23;танцы;ssshhhiiittt!;ssshhhiiittt!;Танцы;0.481;0.972;0.789;0.856;ssshhhiiittt!
2025-01-11;0;memories (feat. kid cudi);david guetta;"David Guetta;Kid Cudi";Memories (feat. Kid Cudi);0.546;0.916;0.251;0.375;david guetta
2025-01-11;0;sexy bitch (feat. akon);david guetta;"David Guetta;Akon";Sexy Bitch (feat. Akon);0.813;0.627;0.131;0.801;david guetta
2025-01-11;0;how you remind me;nickelback;Nickelback;How You Remind Me;0.446;0.764;0.099;0.543;nickelback
2025-01-11;0;life is a highway;rascal flatts;Rascal Flatts;Life is a Highway;0.562;0.934;0.199;0.558;rascal flatts
