date;hour;track_name_clean;artist_name_clean
2025-01-07;23;chasing cars;snow patrol
2025-01-08;6;walking on sunshine (2004 version);katrina & the waves
2025-01-08;6;you can't hurry love - 2016 remaster;phil collins
2025-01-08;6;moskau;dschinghis khan
2025-01-08;6;1 moment feat. buka;k2
2025-01-08;6;never gonna give you up;rick astley
2025-01-08;6;dance me to the end of love;leonard cohen
2025-01-08;6;conga;miami sound machine
2025-01-08;6;beautiful girls;sean kingston
2025-01-08;6;byłaś serca biciem;andrzej zaucha
2025-01-08;7;chasing cars;snow patrol
2025-01-08;7;hit the road jack;ray charles
2025-01-08;7;dilemma;nelly
2025-01-08;7;love on the brain;rihanna
2025-01-08;7;hooray! hooray! it's a holi-holiday - radio edit;boney m.
2025-01-08;7;mama ostrzegała;daj to głośniej
2025-01-08;13;mama ostrzegała;daj to głośniej
2025-01-08;13;czarownica - 2015;fanatic
2025-01-08;13;señorita;shawn mendes
2025-01-08;13;lipstick;kungs
2025-01-08;13;sugar, sugar;the archies
2025-01-08;13;felicità (happyness);al bano
2025-01-08;13;sempre, sempre;al bano
2025-01-08;13;super star;ap$ent
2025-01-08;13;можно я с тобой;ap$ent
2025-01-08;14;тени от пальм;второй ка
2025-01-08;15;тени от пальм;второй ка
2025-01-08;15;воспоминание о тебе;давай на ты
2025-01-08;15;super star;ap$ent
2025-01-08;15;na ostatnią chwilę;pro8l3m
2025-01-08;15;around the world (la la la la la);a touch of class
2025-01-08;15;everytime we touch;cascada
2025-01-08;15;sempre, sempre;al bano
2025-01-08;15;boys - summertime love;sabrina
2025-01-08;15;super star;ap$ent
2025-01-08;15;я пока побуду;ap$ent
2025-01-08;18;я пока побуду;ap$ent
2025-01-08;18;super star;ap$ent
2025-01-08;18;sempre, sempre;al bano
2025-01-08;18;super star;ap$ent
2025-01-08;18;тайна;дурной вкус
2025-01-08;18;можно я с тобой - sped up;ap$ent
2025-01-08;18;sempre, sempre;al bano
2025-01-08;18;susanna (susanna) - remastered;adriano celentano
2025-01-08;18;susanna (susanna) - remastered;adriano celentano
2025-01-08;18;you're a woman;bad boys blue
2025-01-08;18;heartbreak hotel;c.c. catch
2025-01-08;18;felicità;al bano and romina power
2025-01-08;19;ti amo;umberto tozzi
2025-01-08;19;super star;ap$ent
2025-01-08;19;можно я с тобой - 8d;ap$ent
2025-01-08;19;мальчик на девятке;dead blonde
2025-01-08;19;super star;ap$ent
2025-01-08;20;пластинки;дурной вкус
2025-01-08;20;встречайте говнюков;второй ка
2025-01-08;20;пластинки;дурной вкус
2025-01-08;20;пам'ятай свій дім;sadsvit
2025-01-08;20;встречайте говнюков;второй ка
2025-01-08;20;пластинки;дурной вкус
2025-01-08;20;планы;владимир клявин
2025-01-08;20;можно я с тобой - slowed;ap$ent
2025-01-08;20;пам'ятай свій дім;sadsvit
2025-01-08;20;встречайте говнюков;второй ка
2025-01-08;21;можно я с тобой - slowed;ap$ent
2025-01-08;21;планы;владимир клявин
2025-01-08;21;лето;kino
2025-01-08;21;наши юные смешные голоса;ногу свело!
2025-01-08;21;дура;второй ка
2025-01-08;21;sempre, sempre;al bano
2025-01-08;21;felicità (happyness);al bano
2025-01-08;21;words - original version 1983;f.r. david
2025-01-08;21;everlasting love;sandra
2025-01-08;21;ci sarà;al bano and romina power
2025-01-08;21;hungry for love;bad boys blue
2025-01-09;8;words - original version 1983;f.r. david
2025-01-09;8;everlasting love;sandra
2025-01-09;8;ci sarà;al bano and romina power
2025-01-09;8;hungry for love;bad boys blue
2025-01-09;8;super star;ap$ent
2025-01-09;8;мальчик на девятке;dead blonde
2025-01-09;8;super star;ap$ent
2025-01-09;8;szybszy od kota;cypis
2025-01-09;8;можно я с тобой;ap$ent
2025-01-09;8;super star;ap$ent
2025-01-09;8;around the world (la la la la la);a touch of class
2025-01-09;8;don't stop the music;rihanna
2025-01-09;8;addicted to you;avicii
2025-01-09;8;levitating (feat. dababy);dua lipa
2025-01-09;11;levitating (feat. dababy);dua lipa
2025-01-09;11;welcome to st. tropez - dj antoine vs. mad mark radio edit;dj antoine
2025-01-09;11;super star;ap$ent
2025-01-09;11;можно я с тобой;ap$ent
2025-01-09;11;тени от пальм;второй ка
2025-01-09;11;sempre, sempre;al bano
2025-01-09;11;dragostea din tei;o-zone
2025-01-09;11;in the shadows;the rasmus
2025-01-09;11;italodisco;the kolors
2025-01-09;11;prada;cassö
2025-01-09;11;ti amo;umberto tozzi
2025-01-09;11;where are you now;lost frequencies
2025-01-09;12;vamos a la playa;loona
2025-01-09;15;танцевать;molchat doma
2025-01-09;15;судно (борис рыжий);molchat doma
2025-01-09;15;волны;molchat doma
2025-01-09;16;super star;ap$ent
2025-01-09;18;super star;ap$ent
2025-01-09;18;краш;klava koka
2025-01-09;18;эта любовь;amirchik
2025-01-09;18;краш;klava koka
2025-01-09;18;самая самая;egor kreed
2025-01-09;18;твои глаза;loboda
2025-01-09;18;эта любовь;amirchik
2025-01-09;18;патамушка;мэвл
2025-01-09;18;незабудка;calyxis
2025-01-09;18;ты уйдёшь;komissar
2025-01-09;18;ты уйдёшь;komissar
2025-01-09;18;hej hej!;daria zawiałow
2025-01-09;18;nie pytaj o polskę;obywatel g.c.
2025-01-09;18;na ostatnią chwilę;pro8l3m
2025-01-09;18;złamane serce jest ok;daria zawiałow
2025-01-09;18;to co nam było;red lips
2025-01-09;19;piękny świat;gibbs
2025-01-09;19;tamagotchi;taconafide
2025-01-09;20;złamane serce jest ok;daria zawiałow
2025-01-09;20;na ostatnią chwilę;pro8l3m
2025-01-09;20;tamagotchi;taconafide
2025-01-09;20;piękny świat;gibbs
2025-01-09;20;eldorado;sanah
2025-01-09;20;nie kłam że mnie kochasz;ewelina flinta
2025-01-09;20;złoto;mrozu
2025-01-09;20;urke;wilki
2025-01-09;20;nie pytaj o polskę;obywatel g.c.
2025-01-09;20;fifi hollywood;daria zawiałow
2025-01-09;20;kaonashi;daria zawiałow
2025-01-09;20;to co nam było;red lips
2025-01-09;20;tak ... tak ... to ja;obywatel g.c.
2025-01-09;20;nic nie może wiecznie trwać;anna jantar
2025-01-09;20;czarny chleb i czarna kawa;strachy na lachy
2025-01-09;20;rapapara;łydka grubasa
2025-01-09;20;lubię wracać tam gdzie byłem;zbigniew wodecki
2025-01-09;20;kochasz?;sobel
2025-01-09;20;z tobą na chacie;daria zawiałow
2025-01-09;20;ostatnia nocka;yugopolis
2025-01-09;20;ostatnia nocka;yugopolis
2025-01-09;20;dzień dobry, kocham cię;strachy na lachy
2025-01-09;20;z tobą na chacie;daria zawiałow
2025-01-09;20;ostatnia nocka;yugopolis
2025-01-09;21;dzień dobry, kocham cię;strachy na lachy
2025-01-09;21;pokolenie;kombii
2025-01-09;21;za każdym razem;jula
2025-01-09;21;za daleko;mrozu
2025-01-09;21;za każdym razem;jula
2025-01-09;21;pokolenie;kombii
2025-01-09;21;ostatnia nocka;yugopolis
2025-01-09;21;dzień dobry, kocham cię;strachy na lachy
2025-01-09;21;za daleko;mrozu
2025-01-09;21;szampan;sanah
2025-01-09;21;z tobą na chacie;daria zawiałow
2025-01-09;21;ostatnia nocka;yugopolis
2025-01-09;21;ostatnia nocka;yugopolis
2025-01-09;21;dzień dobry, kocham cię;strachy na lachy
2025-01-09;21;z tobą na chacie;daria zawiałow
2025-01-09;21;ostatnia nocka;yugopolis
2025-01-09;21;za każdym razem;jula
2025-01-09;21;bubbletea;quebonafide
2025-01-09;21;pokolenie;kombii
2025-01-09;21;dzień dobry, kocham cię;strachy na lachy
2025-01-09;21;lili;enej
2025-01-09;21;za daleko;mrozu
2025-01-09;21;szampan;sanah
2025-01-09;21;skrable;pro8l3m
2025-01-09;21;nie zatrzymasz mnie;jula
2025-01-09;21;nic do stracenia;mrozu
2025-01-09;21;i ciebie też, bardzo (feat. daria zawiałow, dawid podsiadło & vito bambino);męskie granie orkiestra
