"date","start_time","end_time","went_to_bed","woke_up","year","month","duration","day"
2025-11-16,2025-11-16 01:20:00,2025-11-16 10:10:00,"01:20:00","10:10:00","2025","11",8.83333333333333,"niedziela"
2025-11-17,2025-11-17 00:20:00,2025-11-17 08:00:00,"00:20:00","08:00:00","2025","11",7.66666666666667,"poniedziałek"
2025-11-18,2025-11-18 00:40:00,2025-11-18 08:50:00,"00:40:00","08:50:00","2025","11",8.16666666666667,"wtorek"
2025-11-19,2025-11-19 01:00:00,2025-11-19 08:00:00,"01:00:00","08:00:00","2025","11",7,"środa"
2025-11-20,2025-11-20 01:10:00,2025-11-20 09:50:00,"01:10:00","09:50:00","2025","11",8.66666666666667,"czwartek"
2025-11-21,2025-11-21 00:10:00,2025-11-21 05:20:00,"00:10:00","05:20:00","2025","11",5.16666666666667,"piątek"
2025-11-22,2025-11-22 01:50:00,2025-11-22 10:40:00,"01:50:00","10:40:00","2025","11",8.83333333333333,"sobota"
2025-11-23,2025-11-23 02:10:00,2025-11-23 10:00:00,"02:10:00","10:00:00","2025","11",7.83333333333333,"niedziela"
2025-11-24,2025-11-24 00:50:00,2025-11-24 07:50:00,"00:50:00","07:50:00","2025","11",7,"poniedziałek"
2025-11-25,2025-11-25 00:50:00,2025-11-25 08:10:00,"00:50:00","08:10:00","2025","11",7.33333333333333,"wtorek"
2025-11-26,2025-11-26 00:20:00,2025-11-26 06:40:00,"00:20:00","06:40:00","2025","11",6.33333333333333,"środa"
2025-11-27,2025-11-27 01:00:00,2025-11-27 09:40:00,"01:00:00","09:40:00","2025","11",8.66666666666667,"czwartek"
2025-11-28,2025-11-28,2025-11-28 06:10:00,"00:00:00","06:10:00","2025","11",6.16666666666667,"piątek"
2025-11-29,2025-11-29 00:50:00,2025-11-29 09:50:00,"00:50:00","09:50:00","2025","11",9,"sobota"
2025-11-30,2025-11-30 01:00:00,2025-11-30 08:40:00,"01:00:00","08:40:00","2025","11",7.66666666666667,"niedziela"
2025-12-01,2025-12-01 01:40:00,2025-12-01 09:20:00,"01:40:00","09:20:00","2025","12",7.66666666666667,"poniedziałek"
2025-12-02,2025-12-02 00:20:00,2025-12-02 06:10:00,"00:20:00","06:10:00","2025","12",5.83333333333333,"wtorek"
2025-12-03,2025-12-03 00:40:00,2025-12-03 08:10:00,"00:40:00","08:10:00","2025","12",7.5,"środa"
2025-12-04,2025-12-04 01:20:00,2025-12-04 09:50:00,"01:20:00","09:50:00","2025","12",8.5,"czwartek"
2025-12-05,2025-12-04 23:50:00,2025-12-05 06:30:00,"23:50:00","06:30:00","2025","12",6.66666666666667,"piątek"
2025-12-06,2025-12-06 00:30:00,2025-12-06 10:40:00,"00:30:00","10:40:00","2025","12",10.1666666666667,"sobota"
2025-12-07,2025-12-06 23:50:00,2025-12-07 07:00:00,"23:50:00","07:00:00","2025","12",7.16666666666667,"niedziela"
2025-12-08,2025-12-08 00:10:00,2025-12-08 07:30:00,"00:10:00","07:30:00","2025","12",7.33333333333333,"poniedziałek"
2025-12-09,2025-12-09 00:40:00,2025-12-09 09:00:00,"00:40:00","09:00:00","2025","12",8.33333333333333,"wtorek"
2025-12-10,2025-12-10 00:50:00,2025-12-10 08:10:00,"00:50:00","08:10:00","2025","12",7.33333333333333,"środa"
2025-12-11,2025-12-11 01:00:00,2025-12-11 09:20:00,"01:00:00","09:20:00","2025","12",8.33333333333333,"czwartek"
2025-12-12,2025-12-12,2025-12-12 06:40:00,"00:00:00","06:40:00","2025","12",6.66666666666667,"piątek"
2025-12-13,2025-12-13 01:10:00,2025-12-13 10:10:00,"01:10:00","10:10:00","2025","12",9,"sobota"
2025-12-14,2025-12-14 01:50:00,2025-12-14 09:50:00,"01:50:00","09:50:00","2025","12",8,"niedziela"
2025-12-15,2025-12-15 00:30:00,2025-12-15 07:10:00,"00:30:00","07:10:00","2025","12",6.66666666666667,"poniedziałek"
2025-12-16,2025-12-16 00:30:00,2025-12-16 09:00:00,"00:30:00","09:00:00","2025","12",8.5,"wtorek"
2025-12-17,2025-12-17 01:00:00,2025-12-17 08:50:00,"01:00:00","08:50:00","2025","12",7.83333333333333,"środa"
2025-12-18,2025-12-18 01:10:00,2025-12-18 09:00:00,"01:10:00","09:00:00","2025","12",7.83333333333333,"czwartek"
2025-12-19,2025-12-19 00:50:00,2025-12-19 08:00:00,"00:50:00","08:00:00","2025","12",7.16666666666667,"piątek"
2025-12-20,2025-12-20 01:00:00,2025-12-20 08:00:00,"01:00:00","08:00:00","2025","12",7,"sobota"
2025-12-21,2025-12-21 02:10:00,2025-12-21 10:10:00,"02:10:00","10:10:00","2025","12",8,"niedziela"
2025-12-22,2025-12-22 01:30:00,2025-12-22 09:50:00,"01:30:00","09:50:00","2025","12",8.33333333333333,"poniedziałek"
2025-12-23,2025-12-23 01:10:00,2025-12-23 08:30:00,"01:10:00","08:30:00","2025","12",7.33333333333333,"wtorek"
2025-12-24,2025-12-24 00:40:00,2025-12-24 09:40:00,"00:40:00","09:40:00","2025","12",9,"środa"
2025-12-25,2025-12-25 01:20:00,2025-12-25 09:10:00,"01:20:00","09:10:00","2025","12",7.83333333333333,"czwartek"
2025-12-26,2025-12-26 01:20:00,2025-12-26 09:30:00,"01:20:00","09:30:00","2025","12",8.16666666666667,"piątek"
2025-12-27,2025-12-27 01:20:00,2025-12-27 09:30:00,"01:20:00","09:30:00","2025","12",8.16666666666667,"sobota"
2025-12-28,2025-12-28 01:30:00,2025-12-28 10:30:00,"01:30:00","10:30:00","2025","12",9,"niedziela"
2025-12-29,2025-12-29 00:40:00,2025-12-29 09:10:00,"00:40:00","09:10:00","2025","12",8.5,"poniedziałek"
2025-12-30,2025-12-30 00:50:00,2025-12-30 07:10:00,"00:50:00","07:10:00","2025","12",6.33333333333333,"wtorek"
2025-12-31,2025-12-31 01:30:00,2025-12-31 11:20:00,"01:30:00","11:20:00","2025","12",9.83333333333333,"środa"
2026-01-01,2026-01-01 04:10:00,2026-01-01 11:10:00,"04:10:00","11:10:00","2026","01",7,"czwartek"
2026-01-02,2026-01-02 01:20:00,2026-01-02 10:10:00,"01:20:00","10:10:00","2026","01",8.83333333333333,"piątek"
2026-01-03,2026-01-03 01:20:00,2026-01-03 09:00:00,"01:20:00","09:00:00","2026","01",7.66666666666667,"sobota"
2026-01-04,2026-01-04 01:20:00,2026-01-04 10:00:00,"01:20:00","10:00:00","2026","01",8.66666666666667,"niedziela"
2026-01-05,2026-01-05 02:00:00,2026-01-05 08:00:00,"02:00:00","08:00:00","2026","01",6,"poniedziałek"
2026-01-06,2026-01-06 01:40:00,2026-01-06 09:30:00,"01:40:00","09:30:00","2026","01",7.83333333333333,"wtorek"
2026-01-07,2026-01-07 01:20:00,2026-01-07 07:50:00,"01:20:00","07:50:00","2026","01",6.5,"środa"
2026-01-08,2026-01-08 01:10:00,2026-01-08 08:40:00,"01:10:00","08:40:00","2026","01",7.5,"czwartek"
