date;hour;track_name_clean;artist_name_clean;artists;track_name;danceability;energy;liveness;valence;main_artist_clean
2017-03-17;21;wolf in sheep's clothing;set it off;"Set It Off;William Beckett";Wolf in Sheep's Clothing;0.445;0.907;0.403;0.71;set it off
2017-03-17;21;wolf in sheep's clothing;set it off;"Set It Off;William Beckett";Wolf in Sheep's Clothing;0.445;0.907;0.403;0.71;set it off
2017-03-17;22;wolf in sheep's clothing;set it off;"Set It Off;William Beckett";Wolf in Sheep's Clothing;0.445;0.907;0.403;0.71;set it off
2017-03-17;22;jizz in my pants;the lonely island;The Lonely Island;Jizz In My Pants;0.641;0.87;0.618;0.199;the lonely island
2017-03-17;22;"i know you - from the ""fifty shades of grey"" soundtrack";skylar grey;Skylar Grey;"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack";0.421;0.409;0.107;0.152;skylar grey
2017-03-17;22;"i know you - from the ""fifty shades of grey"" soundtrack";skylar grey;Skylar Grey;"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack";0.421;0.409;0.107;0.152;skylar grey
2017-03-17;22;wolf in sheep's clothing;set it off;"Set It Off;William Beckett";Wolf in Sheep's Clothing;0.445;0.907;0.403;0.71;set it off
2017-03-17;22;wolf in sheep's clothing;set it off;"Set It Off;William Beckett";Wolf in Sheep's Clothing;0.445;0.907;0.403;0.71;set it off
2017-03-17;22;jizz in my pants;the lonely island;The Lonely Island;Jizz In My Pants;0.641;0.87;0.618;0.199;the lonely island
2017-03-17;22;"i know you - from the ""fifty shades of grey"" soundtrack";skylar grey;Skylar Grey;"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack";0.421;0.409;0.107;0.152;skylar grey
2017-03-18;1;"i know you - from the ""fifty shades of grey"" soundtrack";skylar grey;Skylar Grey;"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack";0.421;0.409;0.107;0.152;skylar grey
2017-03-18;1;sarcasm;get scared;Get Scared;Sarcasm;0.387;0.929;0.314;0.591;get scared
2017-03-18;12;wolf in sheep's clothing;set it off;"Set It Off;William Beckett";Wolf in Sheep's Clothing;0.445;0.907;0.403;0.71;set it off
