"date","start_time","end_time","went_to_bed","woke_up","year","month","duration","day"
2025-11-14,2025-11-13 23:50:00,2025-11-14 05:40:00,"23:50:00","05:40:00","2025","11",5.83333333333333,"piątek"
2025-11-15,2025-11-14 21:10:00,2025-11-15 06:10:00,"21:10:00","06:10:00","2025","11",9,"sobota"
2025-11-16,2025-11-16 00:20:00,2025-11-16 07:20:00,"00:20:00","07:20:00","2025","11",7,"niedziela"
2025-11-17,2025-11-16 23:00:00,2025-11-17 06:50:00,"23:00:00","06:50:00","2025","11",7.83333333333333,"poniedziałek"
2025-11-18,2025-11-17 22:00:00,2025-11-18 05:40:00,"22:00:00","05:40:00","2025","11",7.66666666666667,"wtorek"
2025-11-19,2025-11-18 21:50:00,2025-11-19 07:30:00,"21:50:00","07:30:00","2025","11",9.66666666666667,"środa"
2025-11-20,2025-11-19 23:30:00,2025-11-20 07:10:00,"23:30:00","07:10:00","2025","11",7.66666666666667,"czwartek"
2025-11-21,2025-11-20 22:10:00,2025-11-21 05:20:00,"22:10:00","05:20:00","2025","11",7.16666666666667,"piątek"
2025-11-22,2025-11-21 22:50:00,2025-11-22 06:40:00,"22:50:00","06:40:00","2025","11",7.83333333333333,"sobota"
2025-11-23,2025-11-22 23:20:00,2025-11-23 09:50:00,"23:20:00","09:50:00","2025","11",10.5,"niedziela"
2025-11-24,2025-11-23 23:00:00,2025-11-24 06:30:00,"23:00:00","06:30:00","2025","11",7.5,"poniedziałek"
2025-11-25,2025-11-24 23:30:00,2025-11-25 05:30:00,"23:30:00","05:30:00","2025","11",6,"wtorek"
2025-11-26,2025-11-25 22:30:00,2025-11-26 05:10:00,"22:30:00","05:10:00","2025","11",6.66666666666667,"środa"
2025-11-27,2025-11-26 23:30:00,2025-11-27 06:40:00,"23:30:00","06:40:00","2025","11",7.16666666666667,"czwartek"
2025-11-28,2025-11-27 22:40:00,2025-11-28 06:50:00,"22:40:00","06:50:00","2025","11",8.16666666666667,"piątek"
2025-11-29,2025-11-28 23:20:00,2025-11-29 07:10:00,"23:20:00","07:10:00","2025","11",7.83333333333333,"sobota"
2025-11-30,2025-11-29 23:40:00,2025-11-30 09:00:00,"23:40:00","09:00:00","2025","11",9.33333333333333,"niedziela"
2025-12-01,2025-12-01 00:20:00,2025-12-01 06:50:00,"00:20:00","06:50:00","2025","12",6.5,"poniedziałek"
2025-12-02,2025-12-01 23:30:00,2025-12-02 05:20:00,"23:30:00","05:20:00","2025","12",5.83333333333333,"wtorek"
2025-12-03,2025-12-03,2025-12-03 06:30:00,"00:00:00","06:30:00","2025","12",6.5,"środa"
2025-12-04,2025-12-03 23:40:00,2025-12-04 06:40:00,"23:40:00","06:40:00","2025","12",7,"czwartek"
2025-12-05,2025-12-04 21:50:00,2025-12-05 06:20:00,"21:50:00","06:20:00","2025","12",8.5,"piątek"
2025-12-06,2025-12-05 23:20:00,2025-12-06 06:30:00,"23:20:00","06:30:00","2025","12",7.16666666666667,"sobota"
2025-12-07,2025-12-06 23:10:00,2025-12-07 08:00:00,"23:10:00","08:00:00","2025","12",8.83333333333333,"niedziela"
2025-12-08,2025-12-07 23:30:00,2025-12-08 06:50:00,"23:30:00","06:50:00","2025","12",7.33333333333333,"poniedziałek"
2025-12-09,2025-12-09,2025-12-09 05:10:00,"00:00:00","05:10:00","2025","12",5.16666666666667,"wtorek"
2025-12-10,2025-12-10 00:30:00,2025-12-10 07:00:00,"00:30:00","07:00:00","2025","12",6.5,"środa"
2025-12-11,2025-12-11 00:20:00,2025-12-11 06:20:00,"00:20:00","06:20:00","2025","12",6,"czwartek"
2025-12-12,2025-12-12 00:50:00,2025-12-12 05:20:00,"00:50:00","05:20:00","2025","12",4.5,"piątek"
2025-12-13,2025-12-12 23:10:00,2025-12-13 06:30:00,"23:10:00","06:30:00","2025","12",7.33333333333333,"sobota"
2025-12-14,2025-12-13 22:10:00,2025-12-14 09:35:00,"22:10:00","09:35:00","2025","12",11.4166666666667,"niedziela"
2025-12-15,2025-12-15 01:00:00,2025-12-15 07:00:00,"01:00:00","07:00:00","2025","12",6,"poniedziałek"
2025-12-16,2025-12-15 23:40:00,2025-12-16 05:30:00,"23:40:00","05:30:00","2025","12",5.83333333333333,"wtorek"
2025-12-17,2025-12-16 23:50:00,2025-12-17 06:40:00,"23:50:00","06:40:00","2025","12",6.83333333333333,"środa"
2025-12-18,2025-12-17 22:20:00,2025-12-18 06:50:00,"22:20:00","06:50:00","2025","12",8.5,"czwartek"
2025-12-19,2025-12-18 23:20:00,2025-12-19 05:40:00,"23:20:00","05:40:00","2025","12",6.33333333333333,"piątek"
2025-12-20,2025-12-20 00:40:00,2025-12-20 07:30:00,"00:40:00","07:30:00","2025","12",6.83333333333333,"sobota"
2025-12-21,2025-12-21 00:10:00,2025-12-21 07:00:00,"00:10:00","07:00:00","2025","12",6.83333333333333,"niedziela"
2025-12-22,2025-12-21 23:50:00,2025-12-22 06:50:00,"23:50:00","06:50:00","2025","12",7,"poniedziałek"
2025-12-23,2025-12-22 23:00:00,2025-12-23 05:30:00,"23:00:00","05:30:00","2025","12",6.5,"wtorek"
2025-12-24,2025-12-23 21:00:00,2025-12-24 07:30:00,"21:00:00","07:30:00","2025","12",10.5,"środa"
2025-12-25,2025-12-24 22:10:00,2025-12-25 06:00:00,"22:10:00","06:00:00","2025","12",7.83333333333333,"czwartek"
2025-12-26,2025-12-25 23:40:00,2025-12-26 05:00:00,"23:40:00","05:00:00","2025","12",5.33333333333333,"piątek"
2025-12-27,2025-12-27 00:10:00,2025-12-27 05:50:00,"00:10:00","05:50:00","2025","12",5.66666666666667,"sobota"
2025-12-28,2025-12-27 23:00:00,2025-12-28 07:50:00,"23:00:00","07:50:00","2025","12",8.83333333333333,"niedziela"
2025-12-29,2025-12-28 23:30:00,2025-12-29 06:50:00,"23:30:00","06:50:00","2025","12",7.33333333333333,"poniedziałek"
2025-12-30,2025-12-29 22:40:00,2025-12-30 07:10:00,"22:40:00","07:10:00","2025","12",8.5,"wtorek"
2025-12-31,2025-12-31 01:00:00,2025-12-31 07:00:00,"01:00:00","07:00:00","2025","12",6,"środa"
2026-01-01,2026-01-01 03:40:00,2026-01-01 08:00:00,"03:40:00","08:00:00","2026","01",4.33333333333333,"czwartek"
2026-01-02,2026-01-01 21:50:00,2026-01-02 10:00:00,"21:50:00","10:00:00","2026","01",12.1666666666667,"piątek"
2026-01-03,2026-01-03 00:50:00,2026-01-03 06:30:00,"00:50:00","06:30:00","2026","01",5.66666666666667,"sobota"
2026-01-04,2026-01-03 23:20:00,2026-01-04 06:30:00,"23:20:00","06:30:00","2026","01",7.16666666666667,"niedziela"
