date;hour;track_name_clean;artist_name_clean;artists;track_name;danceability;energy;liveness;valence;main_artist_clean
2022-05-29;17;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-05-30;1;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-05-30;1;only love can hurt like this;paloma faith;Paloma Faith;Only Love Can Hurt Like This;0.566;0.885;0.334;0.304;paloma faith
2022-05-30;1;no role modelz;j. cole;J. Cole;No Role Modelz;0.69;0.521;0.0534;0.494;j. cole
2022-05-30;6;if i knew;bruno mars;Bruno Mars;If I Knew;0.522;0.413;0.0854;0.49;bruno mars
2022-05-30;6;someone to stay;vancouver sleep clinic;Vancouver Sleep Clinic;Someone To Stay;0.436;0.473;0.103;0.242;vancouver sleep clinic
2022-05-30;6;strange (feat. hillary smith);kris bowers;"Kris Bowers;Hillary Smith";Strange (feat. Hillary Smith);0.251;0.15;0.113;0.0727;kris bowers
2022-05-30;6;cloud 9;paravi;Paravi;Cloud 9;0.53;0.268;0.0936;0.338;paravi
2022-05-30;6;wildest dreams (taylor's version);taylor swift;Taylor Swift;Wildest Dreams (Taylor's Version);0.581;0.672;0.118;0.514;taylor swift
2022-05-30;6;the real slim shady;eminem;Eminem;The Real Slim Shady;0.949;0.661;0.0454;0.76;eminem
2022-05-30;6;face off;tech n9ne;"Tech N9ne;Joey Cool;King Iso;Dwayne Johnson";Face Off;0.693;0.935;0.179;0.391;tech n9ne
2022-05-30;15;strange (feat. hillary smith);kris bowers;"Kris Bowers;Hillary Smith";Strange (feat. Hillary Smith);0.251;0.15;0.113;0.0727;kris bowers
2022-05-30;15;as it was;harry styles;Harry Styles;As It Was;0.52;0.731;0.311;0.662;harry styles
2022-05-30;15;someone to stay;vancouver sleep clinic;Vancouver Sleep Clinic;Someone To Stay;0.436;0.473;0.103;0.242;vancouver sleep clinic
2022-05-30;15;i like me better;lauv;Lauv;I Like Me Better;0.752;0.505;0.104;0.419;lauv
