date;hour;track_name_clean;artist_name_clean
2022-05-29;13;200 osób w kawalerce;kinny zimmer
2022-05-29;13;znudziło mi się;kacperczyk
2022-05-29;13;chill bill (feat. j. davi$ & spooks);rob $tone
2022-05-29;13;if only;dove cameron
2022-05-29;17;if only;dove cameron
2022-05-29;17;only love can hurt like this;paloma faith
2022-05-29;17;barbie princess island;tv trax
2022-05-29;20;znudziło mi się;kacperczyk
2022-05-29;22;if only;dove cameron
2022-05-29;22;zegarek ze szwajcarii;kinny zimmer
2022-05-29;22;200 osób w kawalerce;kinny zimmer
2022-05-30;1;only love can hurt like this;paloma faith
2022-05-30;1;"right here in my arms (from ""barbie as the island princess"") - extended version";sierra nelson
2022-05-30;1;what if i shine;barbie
2022-05-30;1;only love can hurt like this;paloma faith
2022-05-30;1;grill u gawrona;białas
2022-05-30;1;what if i shine;barbie
2022-05-30;1;patoprohibicja (28.01.2022);mata
2022-05-30;1;to koniec;sanah
2022-05-30;1;znudziło mi się;kacperczyk
2022-05-30;1;summer sunshine;holly lindin
2022-05-30;1;"i need to know (from ""barbie as the island princess"")";sierra nelson
2022-05-30;1;pretty pretty;savana santos
2022-05-30;1;pożyjemy zobaczymy;jan-rapowanie
2022-05-30;1;200 osób w kawalerce;kinny zimmer
2022-05-30;1;no role modelz;j. cole
2022-05-30;1;work out;j. cole
2022-05-30;1;not about angels;birdy
2022-05-30;1;big girls don't cry (personal);fergie
2022-05-30;1;not about angels;birdy
2022-05-30;6;if i knew;bruno mars
2022-05-30;6;tears of gold;faouzia
2022-05-30;6;someone to stay;vancouver sleep clinic
2022-05-30;6;true love (feat. lily allen);p!nk
2022-05-30;6;so this is love;ilene woods
2022-05-30;6;pożyjemy zobaczymy;jan-rapowanie
2022-05-30;6;strange (feat. hillary smith);kris bowers
2022-05-30;6;cloud 9;paravi
2022-05-30;6;wildest dreams (taylor's version);taylor swift
2022-05-30;6;the real slim shady;eminem
2022-05-30;6;je te laisserai des mots;patrick watson
2022-05-30;6;face off;tech n9ne
2022-05-30;15;if by chance - slowed + reverb;ruth b.
2022-05-30;15;barbie princess island;tv trax
2022-05-30;15;work out;j. cole
2022-05-30;15;strange (feat. hillary smith);kris bowers
2022-05-30;15;as it was;harry styles
2022-05-30;15;so this is love;ilene woods
2022-05-30;15;someone to stay;vancouver sleep clinic
2022-05-30;15;i like me better;lauv
2022-05-30;15;evermore;dan stevens
2022-05-30;15;when i was your man;bruno mars
2022-05-30;15;patoprohibicja (28.01.2022);mata
2022-05-30;15;i am a girl like you;annapantsu
2022-05-30;15;love story - sped up + reverb;pearl
2022-05-30;15;my life is a party - radio edit;italobrothers
2022-05-30;15;zegarek ze szwajcarii;kinny zimmer
2022-05-30;15;work out;j. cole
2022-05-30;15;the real slim shady;eminem
2022-05-30;15;as it was;harry styles
2022-05-30;15;i want to break free - live at wembley stadium / july 1986;queen
2022-05-30;15;only love can hurt like this;paloma faith
2022-05-30;15;what a time (feat. niall horan);julia michaels
2022-05-30;15;talking to the moon;bruno mars
2022-05-30;15;cloud 9;paravi
2022-05-30;15;"zabierz tę miłość (storytel ""random"")";maciej musiałowski
2022-05-30;15;where the boys are;connie francis
2022-05-30;17;without me;eminem
2022-05-30;19;what if i told you that i love you;ali gatie
2022-05-30;19;i think i'm in love;kat dahlia
2022-05-30;19;tears of gold;faouzia
2022-05-30;19;pożyjemy zobaczymy;jan-rapowanie
2022-05-30;19;znudziło mi się;kacperczyk
2022-05-30;20;zegarek ze szwajcarii;kinny zimmer
2022-05-30;20;pretty pretty;savana santos
2022-05-30;20;only love can hurt like this;paloma faith
2022-06-01;18;i like me better;lauv
2022-06-01;18;water fountain;alec benjamin
2022-06-01;18;"i need to know (from ""barbie as the island princess"")";sierra nelson
2022-06-01;18;as it was;harry styles
2022-06-01;18;no role modelz;j. cole
2022-06-01;18;if by chance - slowed + reverb;ruth b.
2022-06-01;18;what a time (feat. niall horan);julia michaels
2022-06-01;18;summer sunshine;holly lindin
2022-06-01;18;chill bill (feat. j. davi$ & spooks);rob $tone
