"date","start_time","end_time","went_to_bed","woke_up","year","month","duration","day"
2025-11-17,2025-11-16 23:00:00,2025-11-17 08:40:00,"23:00:00","08:40:00","2025","11",9.66666666666667,"poniedziałek"
2025-11-18,2025-11-17 21:50:00,2025-11-18 05:40:00,"21:50:00","05:40:00","2025","11",7.83333333333333,"wtorek"
2025-11-19,2025-11-18 21:50:00,2025-11-19 07:50:00,"21:50:00","07:50:00","2025","11",10,"środa"
2025-11-20,2025-11-19 21:30:00,2025-11-20 06:10:00,"21:30:00","06:10:00","2025","11",8.66666666666667,"czwartek"
2025-11-21,2025-11-20 22:50:00,2025-11-21 09:10:00,"22:50:00","09:10:00","2025","11",10.3333333333333,"piątek"
2025-11-22,2025-11-22,2025-11-22 08:10:00,"00:00:00","08:10:00","2025","11",8.16666666666667,"sobota"
2025-11-23,2025-11-23 00:50:00,2025-11-23 10:50:00,"00:50:00","10:50:00","2025","11",10,"niedziela"
2025-11-24,2025-11-23 22:20:00,2025-11-24 08:40:00,"22:20:00","08:40:00","2025","11",10.3333333333333,"poniedziałek"
2025-11-25,2025-11-24 22:30:00,2025-11-25 05:40:00,"22:30:00","05:40:00","2025","11",7.16666666666667,"wtorek"
2025-11-26,2025-11-25 22:30:00,2025-11-26 05:40:00,"22:30:00","05:40:00","2025","11",7.16666666666667,"środa"
2025-11-27,2025-11-26 20:20:00,2025-11-27 05:40:00,"20:20:00","05:40:00","2025","11",9.33333333333333,"czwartek"
2025-11-28,2025-11-27 22:40:00,2025-11-28 07:30:00,"23:05:00","07:20:00","2025","11",9.33333333333333,"piątek"
2025-11-29,2025-11-28 23:10:00,2025-11-29 08:30:00,"23:10:00","08:30:00","2025","11",9.33333333333333,"sobota"
2025-11-30,2025-11-29 23:50:00,2025-11-30 09:50:00,"23:50:00","09:50:00","2025","11",10,"niedziela"
2025-12-01,2025-11-30 23:10:00,2025-12-01 07:00:00,"23:10:00","07:00:00","2025","11",7.83333333333333,"poniedziałek"
